Race,Gender,Course,SB1,SB2,SB3,SB4,SB5,SB6,Conflict,Satisfaction,PS,ContributionSelf,ContributionNoSelf
White,Man,232,,,,,,,1.11,4,6.43,1.05,1.05
White,Man,232,,,,,,,2,1.67,5.14,1.05,1.05
White,Man,232,,,,,,,1.33,5,6.57,1.05,1.05
White,Man,232,,,,,,,1.33,5,6.57,1.05,1.05
Asian,Man,232,,,,,,,1.44,4,5.29,0.81,0.73
Asian,Man,232,,,,,,,1.56,3.33,6.14,1.05,1.05
White,Man,232,,,,,,,1.44,5,6.43,1,1
White,Man,232,,,,,,,1,4,6.43,1.03,1.01
White,Man,232,,,,,,,1.56,3,6.29,1.05,1.05
White,Man,232,,,,,,,1.33,4,6.43,1.05,1.05
White,Man,232,,,,,,,2,2.67,5.71,1.05,1.05
White,Man,232,,,,,,,1.33,4,6.57,1.05,1.05
Asian,Man,232,,,,,,,1,3,4.29,0.6,0.48
Asian,Man,232,,,,,,,3.11,1,5,1.05,1.05
Hispanic,Woman,232,,,,,,,2.56,3,3.43,1.05,1.05
White,Man,232,,,,,,,2.67,2.67,3.57,0.55,0.45
White,Man,232,,,,,,,1.33,4.33,5.86,1.05,1.05
White,Man,232,,,,,,,1.78,3.67,5.86,1.05,1.04
White,Woman,232,,,,,,,1.67,4,6.14,1.05,1.05
Asian,Man,232,,,,,,,3.67,1,3.29,1.05,1.05
Asian,Man,232,,,,,,,3.78,1,4,1.05,1.05
White,Man,232,,,,,,,1.22,4,5.86,1,1
White,Man,232,,,,,,,1.89,4.33,6,1.03,1.03
White,Man,232,,,,,,,1.56,3,5.57,1.05,1.05
Hispanic,Man,232,,,,,,,2.22,2.67,5.29,1.04,1.03
Asian,Man,232,,,,,,,1.67,4,5.57,1,0.93
White,Man,232,,,,,,,1.56,5,6.14,1,1
Asian,Man,232,,,,,,,1.11,3.67,5,1,1.02
Asian,Man,232,,,,,,,1,4,5.71,1.05,1.05
Asian,Woman,232,,,,,,,1.11,5,6.14,0.78,0.73
White,Woman,232,,,,,,,1,5,7,1,1
White,Man,232,,,,,,,1,5,7,1,1
White,Man,232,,,,,,,1,5,7,1,1
Asian,Man,232,,,,,,,1.11,1,7,1,0.93
Asian,Man,232,,,,,,,1.44,4,5.43,1,0.93
Asian,Man,232,,,,,,,1,5,6,1,1
White,Man,232,,,,,,,1.78,5,6.14,0.85,0.83
White,Man,232,,,,,,,1.78,2,5.29,1.05,1.05
White,Man,232,,,,,,,1,4.33,6.57,1,0.91
White,Man,232,,,,,,,2,5,5.29,1,1
Hispanic,Woman,232,,,,,,,1,2.33,5.57,1,1
White,Man,232,,,,,,,1,2.33,6.86,1.05,1.05
Asian,Man,232,,,,,,,1,4.67,6.71,0.89,0.91
White,Man,232,,,,,,,1.44,5,6.43,0.88,0.87
White,Man,232,,,,,,,1.67,4,5.14,1.01,1.05
Hispanic,Man,232,,,,,,,2,4,5.57,1,1
Asian,Woman,232,,,,,,,1.44,4.67,5.43,1.02,1.05
Asian,Man,232,,,,,,,1.22,4,6,1,0.93
White,Man,232,,,,,,,1.56,4.33,5.71,0.94,1
White,Man,232,,,,,,,1.11,2.33,6.29,1.05,1.05
Asian,Man,232,,,,,,,1,5,6.86,1,1
Asian,Man,232,,,,,,,1.67,5,5.71,0.89,0.83
White,Man,232,,,,,,,1.44,4.33,6.14,0.88,0.93
White,Man,232,,,,,,,1,5,6.43,1.03,1.02
White,Man,232,,,,,,,1,5,7,1.03,1.01
White,Man,232,,,,,,,1.11,4,6,1.02,1.02
White,Man,232,,,,,,,1.33,4,6.43,1.04,1.03
White,Woman,232,,,,,,,1.22,5,6.71,1,0.89
White,Man,232,,,,,,,1.56,5,6.29,1.05,1.05
White,Man,232,,,,,,,1.89,4,6.14,1.03,1.01
Hispanic,Man,232,,,,,,,2.33,3.67,4.57,1.05,1.05
Asian,Man,232,,,,,,,1.56,4,4.86,1.03,1.03
White,Man,232,,,,,,,1.89,4.33,5.43,1.05,1.05
White,Woman,232,,,,,,,1.44,5,6.29,0.82,0.74
White,Man,232,,,,,,,2,4,5.86,1.03,1
White,Man,232,,,,,,,2.56,4,4.29,1.05,1.05
Black,Man,232,,,,,,,1.89,4,5.86,0.87,0.86
Black,Man,232,,,,,,,2.22,3.67,6.43,1.05,1.05
Black,Man,232,,,,,,,2,2,4.14,1.05,1.05
Asian,Woman,232,,,,,,,1,4,6,0.83,0.78
White,Man,232,,,,,,,1.67,4,4.43,1.05,1.05
White,Man,232,,,,,,,1.33,4.33,6.29,0.88,0.87
White,Woman,232,,,,,,,1.44,3.67,5.57,1.05,1.05
White,Man,232,,,,,,,1.56,3.67,6.29,1.05,1.05
White,Man,232,,,,,,,2.67,2,4.86,1.05,1.05
White,Man,232,,,,,,,1.11,3.67,3.71,0.76,0.57
White,Man,232,,,,,,,1,4,5.86,1,0.91
White,Man,232,,,,,,,2.44,2.33,5.14,1.02,1.02
Black,Man,232,,,,,,,1.44,2.67,4.71,1.05,1.03
Asian,Man,232,,,,,,,3.89,1,2.29,0.76,0.62
Asian,Man,232,,,,,,,2.44,2,4.43,1.05,1.05
White,Man,232,,,,,,,1.67,5,6,1.05,1.03
Asian,Woman,232,,,,,,,1.56,3,3.86,0.92,1
White,Man,232,,,,,,,3.56,3,4.86,1.05,1.04
White,Woman,232,,,,,,,2.89,2.67,5.71,1.05,1.05
White,Man,232,,,,,,,2.44,3.67,5.43,0.82,0.7
White,Man,232,,,,,,,2.11,4,6.86,1,0.86
White,Man,232,,,,,,,2,2.33,6,1.05,1.05
White,Man,232,,,,,,,2.44,1,2.71,0.76,0.55
White,Man,232,,,,,,,2.33,4,5.43,1.05,1.05
Asian,Man,232,,,,,,,2,4,,1.05,1.05
Asian,Man,232,,,,,,,1.67,4.67,,1.05,1.05
White,Man,232,,,,,,,1.56,5,,0.9,0.92
White,Man,232,,,,,,,1.89,4.67,,1.03,1.05
Black,Man,232,,,,,,,1.78,2,,1.05,1.05
White,Woman,232,,,,,,,1.67,4.33,,1,0.95
White,Man,232,,,,,,,1.67,5,,1,1
White,Man,232,,,,,,,1.33,5,,1.04,1.02
Asian,Man,232,,,,,,,1.11,5,,1,1.01
Asian,Man,232,,,,,,,2.11,2.67,,1.05,1.05
Black,Woman,232,,,,,,,2.11,2.33,,1.05,1.05
Asian,Man,232,,,,,,,1.78,5,,1.05,1.03
White,Man,232,,,,,,,1.67,4,,1.05,1.05
White,Woman,232,,,,,,,1.78,3.33,,0.88,0.84
Asian,Man,232,,,,,,,1.89,5,,1.04,1.05
White,Man,232,,,,,,,1.11,4.33,,1.02,1.02
White,Man,232,,,,,,,1.78,4,,1.05,1.05
White,Man,232,,,,,,,1.67,4,,0.92,0.94
White,Woman,232,,,,,,,1.56,4.67,,1.03,1.05
White,Nonbinary,232,,,,,,,1.33,5,,1.05,1.05
White,Woman,232,,,,,,,1.33,5,,1,1
White,Nonbinary,232,,,,,,,1.78,5,,1.05,1.05
White,Man,232,,,,,,,1.56,5,,1,0.9
Asian,Man,232,,,,,,,1.33,4,,1,1
Asian,Man,232,,,,,,,1.56,4,,1.03,1.05
White,Woman,232,,,,,,,1,2,,1.05,1.05
Asian,Man,232,,,,,,,1.22,5,,0.91,0.85
White,Man,232,,,,,,,1.89,5,,1.04,1.02
White,Man,232,,,,,,,1.44,4,,1.05,1.05
White,Man,232,,,,,,,1.11,4.67,,0.85,0.8
Asian,Man,232,,,,,,,1.78,4.33,,0.9,0.87
White,Man,232,,,,,,,2.33,4,,1.05,1.05
Asian,Man,232,,,,,,,1.22,5,,0.44,0.32
White,Man,232,,,,,,,1.67,4,,1.05,1.05
White,Man,232,,,,,,,1.56,5,,1.01,1.02
Asian,Man,232,,,,,,,2.33,4,,0.95,1
White,Woman,232,,,,,,,2,4.33,,1.02,1.04
White,Man,232,,,,,,,1.33,4.33,,1.03,1
White,Man,232,,,,,,,2,2.33,,1.05,1.05
White,Man,232,,,,,,,2.33,3.67,,1.05,1.05
White,Man,232,,,,,,,1.33,3.67,,0.71,0.67
Asian,Man,232,,,,,,,1.89,5,,1,1
White,Man,232,,,,,,,1.56,5,,1.05,1.05
Asian,Man,232,,,,,,,1,4,,1.05,1.05
Asian,Man,232,,,,,,,1,5,,1.05,1.05
White,Man,232,,,,,,,2.67,3.33,,1,1
White,Man,232,,,,,,,4,2.67,,1.05,1.05
Black,Woman,232,,,,,,,3,1,,0.78,0.77
Asian,Woman,232,,,,,,,2.44,4,,1.05,1.05
White,Man,232,,,,,,,1.56,3.33,,1.05,1.05
White,Man,232,,,,,,,2.11,3.33,,0.65,0.6
White,Man,232,,,,,,,1.89,3.33,,1.01,1.01
White,Woman,232,,,,,,,2.67,3,,1.05,1.05
White,Man,232,,,,,,,1.33,4,,1.05,1.05
White,Man,232,,,,,,,1,5,,1.05,1.05
Asian,Man,232,,,,,,,1.44,4.33,,1,1
Asian,Man,232,,,,,,,1.67,4,,1.05,1.05
Asian,Man,232,,,,,,,2,4.33,,1.05,1.05
Asian,Man,232,,,,,,,1.22,4.67,,1.05,1.05
White,Man,232,,,,,,,1.78,4,,0.77,0.57
Asian,Man,232,,,,,,,1.22,3.67,,1.05,1.05
White,Woman,232,,,,,,,1.56,3.33,,1.05,1.05
Asian,Man,232,,,,,,,1.56,5,,1.05,1.05
White,Man,232,,,,,,,1.22,5,,0.88,0.82
Asian,Man,232,,,,,,,1,5,,0.92,1
White,Man,232,,,,,,,1.44,5,,1.05,1.05
